canonical_precursor,n_rows,co2_min,co2_max,co2_range,ch4_min,ch4_max,ch4_range
Cc1[n-][nH]c(C)c1c1c(C)[n-][nH]c1C.[Ag],2,0.22276858,0.883002095,0.660233515,3.6083311866,4.0472666021,0.4389354154999996
Cc1[n-][nH]c(C)c1c1c(C)[n-][nH]c1C.[Cd],6,0.389677877,3.934400891,3.544723014,1.2546473184,8.3121135754,7.057466257
Cc1[n-][nH]c(C)c1c1c(C)[n-][nH]c1C.[Co],2,0.392420782,2.301621616,1.9092008339999997,6.5191277688,15.5826299007,9.063502131900002
Cc1[n-][nH]c(C)c1c1c(C)[n-][nH]c1C.[Cu][I],2,0.42135424,0.712650588,0.29129634800000004,2.5425849783000003,2.5620394849,0.01945450659999981
Cc1[n-][nH]c(C)c1c1c(C)[n-][nH]c1C.[Fe],5,0.612562113,0.663913408,0.05135129500000002,1.2307730693,1.2877508625,0.05697779319999996
Cc1[n-][nH]c(C)c1c1ccc(C(=O)[O-])cc1.[Zn],3,1.109152793,1.758011001,0.648858208,3.7700273397,5.231432594,1.4614052543000002
Cc1c(C(=O)[O-])sc2sc(C(=O)[O-])c(C)c12.[Zn][O]([Zn])([Zn])[Zn],2,0.255777158,3.082751176,2.826974018,5.9932592836000005,14.5610972774,8.5678379938
Cc1c(C)c(C(=O)[O-])c(C)c(C)c1C(=O)[O-].[Tm],2,3.182995178,3.248190778,0.06519560000000002,8.2916585137,8.3124501127,0.020791599000000716
Cc1c(C)c(CNc2cc(C(=O)[O-])cc(C(=O)O)c2)c(C)c(C)c1CNc1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Sm],3,3.373845617,3.812588476,0.438742859,4.6212145353,8.38867537,3.7674608346999996
Cc1c(CN2[CH]C=C(C(=O)[O-])C=C2)c(C)c(CN2[CH]C=C(C(=O)[O-])C=C2)c(C)c1CN1[CH]C=C(C(=O)[O-])C=C1.[Pr],2,3.823806541,4.365594785,0.5417882439999997,7.300380789299999,7.588711549099999,0.2883307598
Cc1c(COc2cccc(C(=O)[O-])c2)c(C)c(COc2cccc(C(=O)[O-])c2)c(C)c1COc1cccc(C(=O)[O-])c1.[Zn],2,0.960495269,1.483040361,0.522545092,5.9727529853,18.1315226927,12.1587697074
Cc1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Cd],2,3.223783038,3.232882053,0.009099014999999877,3.392684842,3.4236494557,0.030964613700000143
Cc1cc(C(=O)[O-])cc(C(=O)[O-])c1.[Mn],2,4.091738287,4.168258889,0.07652060199999955,4.2436487981,4.248739147699999,0.005090349599999655
Cc1ccc(C2=C3C=CC(=C(c4ccncc4)C4=NC(=C(c5ccc(C)cc5)C5=CC=C(N5)C(c5ccncc5)=C5C=CC2=N5)C=C4)N3)cc1.[Co],2,0.117817092,0.124425533,0.0066084410000000066,0.9729872902,1.1627002029,0.1897129127
Cc1nc(C(=O)[O-])c(C(=O)[O-])[nH]1.O=C([O-])C(=O)[O-].[Eu],2,2.569772235,2.58219697,0.012424735000000187,2.4013917203,2.4302085583,0.02881683800000001
Cc1nc(C(=O)[O-])c(C(=O)[O-])[nH]1.O=C([O-])C(=O)[O-].[Gd],2,2.069528597,2.155230338,0.08570174099999983,2.4236668274,2.4308825891,0.007215761699999934
Cc1nc(C(=O)[O-])c(C(=O)[O-])[nH]1.O=C([O-])C(=O)[O-].[Sm],3,2.645014126,2.758306764,0.11329263799999989,2.38144245,2.5084004765,0.12695802649999965
Cc1nccn1CCCCn1ccnc1C.O=C([O-])c1c(F)c(F)c(C(=O)[O-])c(F)c1F.[Cd],2,4.412006078,4.464232579,0.052226500999999814,4.113201945,4.2141049530000005,0.1009030080000004
Cc1nnc(c2ccc(c3nnc(C)n3c3cccc(C(=O)[O-])c3)s2)n1c1cccc(C(=O)[O-])c1.[Cu].[Cu][Cu],2,0.888634928,0.915552937,0.026918008999999965,5.0078839371,5.08508841,0.0772044729000001
